osm_id,feat_type,key,value,commentary
89129600,way,last_update,19-11-2020,Feature has not been updated in 5 years or more
170538174,way,last_update,20-5-2021,Feature has not been updated in 5 years or more
172214611,way,last_update,2-3-2021,Feature has not been updated in 5 years or more
189085444,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
269441912,way,last_update,14-11-2020,Feature has not been updated in 5 years or more
269441927,way,last_update,14-1-2021,Feature has not been updated in 5 years or more
361037180,way,last_update,2-8-2021,Feature has not been updated in 5 years or more
403082739,way,last_update,20-5-2021,Feature has not been updated in 5 years or more
423440520,way,last_update,21-2-2020,Feature has not been updated in 5 years or more
459354625,way,last_update,2-3-2021,Feature has not been updated in 5 years or more
459354634,way,last_update,2-3-2021,Feature has not been updated in 5 years or more
498385010,way,last_update,26-1-2020,Feature has not been updated in 5 years or more
561632303,way,last_update,20-5-2021,Feature has not been updated in 5 years or more
663506634,way,last_update,15-1-2019,Feature has not been updated in 5 years or more
672310059,way,last_update,22-2-2019,Feature has not been updated in 5 years or more
684105439,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684107093,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684108765,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684113924,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684123939,way,last_update,29-3-2021,Feature has not been updated in 5 years or more
684127645,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684127648,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684127650,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684127657,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684129835,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684129839,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684318546,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684343539,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684346748,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684348088,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684352135,way,last_update,17-5-2021,Feature has not been updated in 5 years or more
684352137,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684352141,way,last_update,31-3-2021,Feature has not been updated in 5 years or more
684352142,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684355017,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
684586733,way,last_update,20-5-2021,Feature has not been updated in 5 years or more
685236125,way,last_update,16-12-2019,Feature has not been updated in 5 years or more
685369265,way,last_update,5-8-2021,Feature has not been updated in 5 years or more
685430972,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
685622721,way,last_update,24-8-2021,Feature has not been updated in 5 years or more
686919526,way,last_update,30-4-2019,Feature has not been updated in 5 years or more
691197646,way,last_update,20-5-2019,Feature has not been updated in 5 years or more
696609838,way,last_update,12-6-2019,Feature has not been updated in 5 years or more
749418737,way,last_update,25-11-2019,Feature has not been updated in 5 years or more
749804646,way,last_update,26-11-2019,Feature has not been updated in 5 years or more
749808212,way,last_update,26-11-2019,Feature has not been updated in 5 years or more
750037329,way,last_update,27-11-2019,Feature has not been updated in 5 years or more
750057088,way,last_update,27-11-2019,Feature has not been updated in 5 years or more
