osm_id,feat_type,key,value,commentary
2885972,relation,surface_bike,sett,no wiki page for this key
4519675,way,surface_bike,milanese_paving,no wiki page for this key
4520049,way,surface_bike,milanese_paving,no wiki page for this key
4520096,way,surface_bike,milanese_paving,no wiki page for this key
4520097,way,surface_bike,milanese_paving,no wiki page for this key
5110235,way,surface_bike,milanese_paving:rails,no wiki page for this key
7980551,way,surface_bike,sett,no wiki page for this key
8423863,way,surface_bike,milanese_paving,no wiki page for this key
15238344,way,surface_bike,paving_stones,no wiki page for this key
22743856,way,surface_bike,sett,no wiki page for this key
23227351,way,surface_bike,milanese_paving,no wiki page for this key
23227478,way,surface_bike,milanese_paving,no wiki page for this key
23227646,way,surface_bike,asphalt,no wiki page for this key
23331764,way,surface_bike,sett,no wiki page for this key
24815726,way,surface_bike,milanese_paving,no wiki page for this key
24971163,way,surface_bike,milanese_paving,no wiki page for this key
27745056,way,surface_bike,milanese_paving,no wiki page for this key
27745201,way,surface_bike,milanese_paving,no wiki page for this key
28032419,way,surface_bike,milanese_paving,no wiki page for this key
30689486,way,surface_bike,milanese_paving,no wiki page for this key
30789348,way,surface_bike,sett,no wiki page for this key
36196832,way,surface_bike,sett,no wiki page for this key
37338857,way,surface_bike,milanese_paving,no wiki page for this key
38000392,way,surface_bike,cobblestone,no wiki page for this key
43015455,way,surface_bike,milanese_paving,no wiki page for this key
44438444,way,surface_bike,milanese_paving,no wiki page for this key
44602670,way,surface_bike,milanese_paving,no wiki page for this key
44602671,way,surface_bike,sett,no wiki page for this key
57742687,way,surface_bike,milanese_paving,no wiki page for this key
100183076,way,surface_bike,sett,no wiki page for this key
104365489,way,surface_bike,sett,no wiki page for this key
111655183,way,surface_bike,milanese_paving,no wiki page for this key
113517740,way,surface_bike,sett,no wiki page for this key
113517744,way,surface_bike,sett,no wiki page for this key
127168840,way,surface_bike,sett,no wiki page for this key
145014439,way,surface_bike,milanese_paving,no wiki page for this key
148358570,way,heavy_equipment,destination,no wiki page for this key
158013425,way,platform,tram,no wiki page for this key
163757293,way,surface_bike,milanese_paving,no wiki page for this key
163757303,way,surface_bike,milanese_paving,no wiki page for this key
165990904,way,surface_bike,sett,no wiki page for this key
168770490,way,surface_bike,paving_stones,no wiki page for this key
172640220,way,surface_bike,milanese_paving,no wiki page for this key
172824079,way,surface_bike,sett,no wiki page for this key
173087851,way,surface_bike,sett,no wiki page for this key
183876914,way,surface_bike,milanese_paving,no wiki page for this key
184220343,way,surface_bike,milanese_paving,no wiki page for this key
188280033,way,surface_bike,milanese_paving,no wiki page for this key
188742270,way,surface_bike,milanese_paving,no wiki page for this key
191147357,way,surface_bike,milanese_paving,no wiki page for this key
194011466,way,surface_bike,milanese_paving,no wiki page for this key
206111233,way,surface_bike,sett,no wiki page for this key
255358214,way,surface_bike,milanese_paving,no wiki page for this key
260647823,way,surface_bike,milanese_paving,no wiki page for this key
261934242,way,surface_bike,milanese_paving,no wiki page for this key
262212060,way,surface_bike,sett,no wiki page for this key
267214813,way,surface_bike,sett,no wiki page for this key
269223235,way,surface_bike,sett,no wiki page for this key
269236844,way,surface_bike,milanese_paving,no wiki page for this key
269236847,way,surface_bike,milanese_paving,no wiki page for this key
269236854,way,surface_bike,milanese_paving,no wiki page for this key
269236856,way,surface_bike,milanese_paving,no wiki page for this key
269859606,way,surface_bike,sett,no wiki page for this key
269859660,way,survey_date,2014-03,no wiki page for this key
270437034,way,surface_bike,milanese_paving,no wiki page for this key
272783623,way,surface_bike,milanese_paving,no wiki page for this key
272790957,way,surface_bike,milanese_paving,no wiki page for this key
273714459,way,surface_bike,milanese_paving,no wiki page for this key
273969557,way,surface_bike,milanese_paving,no wiki page for this key
274115720,way,surface_bike,milanese_paving,no wiki page for this key
274781611,way,surface_bike,milanese_paving,no wiki page for this key
274829008,way,surface_bike,milanese_paving,no wiki page for this key
274829009,way,surface_bike,milanese_paving,no wiki page for this key
274984849,way,surface_bike,milanese_paving,no wiki page for this key
274984850,way,surface_bike,milanese_paving,no wiki page for this key
274984851,way,surface_bike,milanese_paving,no wiki page for this key
277516085,way,surface_bike,milanese_paving,no wiki page for this key
279159122,way,surface_bike,sett,no wiki page for this key
285282333,way,surface_bike,milanese_paving,no wiki page for this key
285282337,way,surface_bike,milanese_paving,no wiki page for this key
286239217,way,surface_bike,sett,no wiki page for this key
286242733,way,surface_bike,milanese_paving,no wiki page for this key
286590801,way,surface_bike,milanese_paving,no wiki page for this key
286590825,way,surface_bike,milanese_paving,no wiki page for this key
286590850,way,surface_bike,milanese_paving,no wiki page for this key
286590873,way,surface_bike,sett,no wiki page for this key
286590874,way,surface_bike,milanese_paving,no wiki page for this key
286603668,way,surface_bike,milanese_paving,no wiki page for this key
286603671,way,surface_bike,milanese_paving,no wiki page for this key
289093127,way,surface_bike,sett,no wiki page for this key
289406968,way,surface_bike,milanese_paving,no wiki page for this key
294573536,way,surface_bike,milanese_paving,no wiki page for this key
326537448,way,surface_bike,milanese_paving,no wiki page for this key
327977914,way,surface_bike,milanese_paving,no wiki page for this key
338328046,way,surface_bike,sett,no wiki page for this key
338328048,way,surface_bike,sett,no wiki page for this key
340440847,way,surface_bike,sett,no wiki page for this key
352982541,way,surface_bike,sett,no wiki page for this key
359602400,way,surface_bike,sett,no wiki page for this key
