osm_id,feat_type,key,value,commentary
1322177,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
1322178,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
1619879,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
1619890,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
1858559,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2210968,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2585522,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2590790,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2604710,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2605688,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2625489,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2694506,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2758932,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2771762,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2885972,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
2923498,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3099975,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3312258,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3374883,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3390528,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3480683,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3486125,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3486495,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3494982,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3496129,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3497973,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3501685,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3516830,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3742397,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3756419,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3780511,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3823638,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3827338,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3856622,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3872911,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
3873230,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
4052006,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
4781962,relation,last_update,9-8-2004,Feature has not been updated in 5 years or more
