osm_id,feat_type,key,value,commentary
7980051,way,surface_bike,milanese_paving,no wiki page for this key
134765959,way,platform,tram,no wiki page for this key
134765971,way,platform,tram,no wiki page for this key
134765978,way,platform,tram,no wiki page for this key
221328705,way,platform,tram,no wiki page for this key
221328707,way,platform,tram,no wiki page for this key
244136156,way,platform,tram,no wiki page for this key
246921211,way,platform,tram,no wiki page for this key
248095777,way,platform,tram,no wiki page for this key
249061178,way,platform,tram,no wiki page for this key
250515941,way,platform,tram,no wiki page for this key
250515942,way,platform,tram,no wiki page for this key
251311898,way,platform,tram,no wiki page for this key
251614623,way,platform,tram,no wiki page for this key
251948698,way,platform,tram,no wiki page for this key
256998634,way,platform,tram,no wiki page for this key
290573363,way,platform,tram,no wiki page for this key
290573364,way,platform,tram,no wiki page for this key
290573365,way,platform,tram,no wiki page for this key
355514651,way,platform,tram,no wiki page for this key
355519433,way,platform,tram,no wiki page for this key
355519434,way,platform,tram,no wiki page for this key
365338690,way,platform,tram,no wiki page for this key
365338691,way,platform,tram,no wiki page for this key
369247971,way,platform,tram,no wiki page for this key
369247983,way,platform,tram,no wiki page for this key
369249535,way,platform,tram,no wiki page for this key
369348851,way,platform,tram,no wiki page for this key
369348854,way,platform,tram,no wiki page for this key
386386540,way,platform,tram,no wiki page for this key
403676483,way,platform,tram,no wiki page for this key
405874034,way,platform,tram,no wiki page for this key
405874035,way,platform,tram,no wiki page for this key
405879026,way,platform,tram,no wiki page for this key
497381143,way,platform,tram,no wiki page for this key
502595519,way,platform,tram,no wiki page for this key
663470114,way,platform,tram,no wiki page for this key
685672153,way,platform,tram,no wiki page for this key
689278414,way,platform,tram,no wiki page for this key
941863455,way,platform,tram,no wiki page for this key
941863456,way,platform,tram,no wiki page for this key
941863459,way,platform,tram,no wiki page for this key
941863463,way,platform,tram,no wiki page for this key
1008845196,way,platform,tram,no wiki page for this key
1026953270,way,platform,tram,no wiki page for this key
1026964047,way,platform,tram,no wiki page for this key
1026964048,way,platform,tram,no wiki page for this key
1027010855,way,platform,tram,no wiki page for this key
1027010856,way,platform,tram,no wiki page for this key
1027012088,way,platform,tram,no wiki page for this key
1027013245,way,platform,tram,no wiki page for this key
1027024994,way,platform,tram,no wiki page for this key
1027024996,way,platform,tram,no wiki page for this key
1027033815,way,platform,tram,no wiki page for this key
1027033816,way,platform,tram,no wiki page for this key
1027033818,way,platform,tram,no wiki page for this key
1027033819,way,platform,tram,no wiki page for this key
1027033821,way,platform,tram,no wiki page for this key
1027033826,way,platform,tram,no wiki page for this key
1027033827,way,platform,tram,no wiki page for this key
1027040565,way,platform,tram,no wiki page for this key
1027040568,way,platform,tram,no wiki page for this key
1027047614,way,platform,tram,no wiki page for this key
1027050237,way,platform,tram,no wiki page for this key
1027054498,way,platform,tram,no wiki page for this key
1027054500,way,platform,tram,no wiki page for this key
1027054501,way,platform,tram,no wiki page for this key
1027717375,way,platform,tram,no wiki page for this key
1027717377,way,platform,tram,no wiki page for this key
1027917617,way,platform,tram,no wiki page for this key
1027917618,way,platform,tram,no wiki page for this key
1028076809,way,platform,tram,no wiki page for this key
1028079187,way,platform,tram,no wiki page for this key
1028079776,way,platform,tram,no wiki page for this key
1028081179,way,platform,tram,no wiki page for this key
1028081687,way,platform,tram,no wiki page for this key
1028081689,way,platform,tram,no wiki page for this key
1028082012,way,platform,tram,no wiki page for this key
1028083243,way,platform,tram,no wiki page for this key
1028094425,way,platform,tram,no wiki page for this key
1028095826,way,platform,tram,no wiki page for this key
1028104776,way,platform,tram,no wiki page for this key
1028104777,way,platform,tram,no wiki page for this key
1028104778,way,platform,tram,no wiki page for this key
1028104780,way,platform,tram,no wiki page for this key
1028106216,way,platform,tram,no wiki page for this key
1028106219,way,platform,tram,no wiki page for this key
1028924367,way,platform,tram,no wiki page for this key
1028950512,way,platform,tram,no wiki page for this key
1048273910,way,platform,tram,no wiki page for this key
1065063342,way,platform,tram,no wiki page for this key
1065095113,way,platform,tram,no wiki page for this key
1065105082,way,platform,tram,no wiki page for this key
1065135557,way,platform,tram,no wiki page for this key
1065456265,way,platform,tram,no wiki page for this key
1065456267,way,platform,tram,no wiki page for this key
1065456269,way,platform,tram,no wiki page for this key
1065456270,way,platform,tram,no wiki page for this key
1065456274,way,platform,tram,no wiki page for this key
1069204486,way,platform,tram,no wiki page for this key
1069266539,way,platform,tram,no wiki page for this key
1069266543,way,platform,tram,no wiki page for this key
1072632660,way,platform,bus,no wiki page for this key
1072633680,way,platform,bus,no wiki page for this key
1072633682,way,platform,bus,no wiki page for this key
1072660668,way,platform,bus,no wiki page for this key
1072663757,way,platform,bus,no wiki page for this key
1072665051,way,platform,bus,no wiki page for this key
1072665346,way,platform,bus,no wiki page for this key
1072666603,way,platform,bus,no wiki page for this key
1072666928,way,platform,bus,no wiki page for this key
1072666930,way,platform,bus,no wiki page for this key
1072996436,way,platform,tram,no wiki page for this key
1073025529,way,platform,tram,no wiki page for this key
1073047692,way,platform,tram,no wiki page for this key
1073054127,way,platform,tram,no wiki page for this key
1075775328,way,platform,tram,no wiki page for this key
1078820172,way,platform,tram,no wiki page for this key
1080223408,way,platform,tram,no wiki page for this key
1080268687,way,platform,tram,no wiki page for this key
1080275020,way,platform,tram,no wiki page for this key
1080275355,way,platform,tram,no wiki page for this key
1088096397,way,platform,tram,no wiki page for this key
1088395854,way,platform,tram,no wiki page for this key
1088772241,way,platform,tram,no wiki page for this key
1088801809,way,platform,tram,no wiki page for this key
1088802519,way,platform,tram,no wiki page for this key
1090229295,way,platform,tram,no wiki page for this key
1092126029,way,platform,tram,no wiki page for this key
1092132213,way,platform,tram,no wiki page for this key
1092134652,way,platform,tram,no wiki page for this key
1092348753,way,platform,tram,no wiki page for this key
1092351436,way,platform,tram,no wiki page for this key
1092351438,way,platform,tram,no wiki page for this key
1092352021,way,platform,tram,no wiki page for this key
1092354560,way,platform,tram,no wiki page for this key
1092356154,way,platform,tram,no wiki page for this key
1092360510,way,platform,tram,no wiki page for this key
1092362203,way,platform,tram,no wiki page for this key
1092625503,way,platform,tram,no wiki page for this key
1094209492,way,platform,tram,no wiki page for this key
1094210780,way,platform,tram,no wiki page for this key
1148446013,way,platform,tram,no wiki page for this key
1190606908,way,platform,tram,no wiki page for this key
1349605714,way,platform,tram,no wiki page for this key
1349605821,way,platform,tram,no wiki page for this key
1351614060,way,platform,tram,no wiki page for this key
1351851387,way,platform,tram,no wiki page for this key
1351856612,way,platform,tram,no wiki page for this key
1351906502,way,platform,tram,no wiki page for this key
1351906809,way,platform,tram,no wiki page for this key
1351907245,way,platform,tram,no wiki page for this key
1351909198,way,platform,tram,no wiki page for this key
1351909200,way,platform,tram,no wiki page for this key
1431085690,way,platform,tram,no wiki page for this key
1530410289,way,platform,tram,no wiki page for this key
