osm_id,feat_type,key,value,commentary
24025702,way,last_update,5-8-2021,Feature has not been updated in 5 years or more
59189460,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
136292542,way,last_update,14-1-2021,Feature has not been updated in 5 years or more
147953120,way,last_update,2-3-2021,Feature has not been updated in 5 years or more
163655059,way,last_update,6-11-2020,Feature has not been updated in 5 years or more
165066410,way,last_update,28-11-2019,Feature has not been updated in 5 years or more
169290511,way,last_update,16-8-2020,Feature has not been updated in 5 years or more
171662167,way,last_update,23-9-2020,Feature has not been updated in 5 years or more
173167966,way,last_update,25-11-2019,Feature has not been updated in 5 years or more
183206096,way,last_update,29-4-2019,Feature has not been updated in 5 years or more
183642743,way,last_update,16-5-2019,Feature has not been updated in 5 years or more
183873033,way,last_update,17-6-2019,Feature has not been updated in 5 years or more
186886053,way,last_update,21-10-2012,Feature has not been updated in 5 years or more
188378380,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
196522592,way,last_update,15-12-2012,Feature has not been updated in 5 years or more
202985990,way,last_update,27-5-2021,Feature has not been updated in 5 years or more
216091534,way,last_update,13-1-2021,Feature has not been updated in 5 years or more
245341013,way,last_update,29-3-2021,Feature has not been updated in 5 years or more
248018400,way,last_update,18-5-2021,Feature has not been updated in 5 years or more
248344663,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
252249962,way,last_update,30-4-2019,Feature has not been updated in 5 years or more
252782455,way,last_update,20-12-2013,Feature has not been updated in 5 years or more
252805405,way,last_update,3-2-2018,Feature has not been updated in 5 years or more
252805420,way,last_update,3-2-2018,Feature has not been updated in 5 years or more
254678162,way,last_update,13-11-2020,Feature has not been updated in 5 years or more
256054187,way,last_update,14-9-2019,Feature has not been updated in 5 years or more
259939496,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
268643287,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
269172390,way,last_update,26-3-2014,Feature has not been updated in 5 years or more
269172396,way,last_update,26-3-2014,Feature has not been updated in 5 years or more
269603791,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
273712497,way,last_update,29-11-2019,Feature has not been updated in 5 years or more
284970402,way,last_update,29-11-2019,Feature has not been updated in 5 years or more
284970403,way,last_update,27-6-2019,Feature has not been updated in 5 years or more
284970404,way,last_update,29-4-2019,Feature has not been updated in 5 years or more
288203167,way,last_update,16-12-2020,Feature has not been updated in 5 years or more
295916834,way,last_update,18-4-2015,Feature has not been updated in 5 years or more
305393838,way,last_update,8-5-2019,Feature has not been updated in 5 years or more
323945110,way,last_update,21-2-2020,Feature has not been updated in 5 years or more
323945127,way,last_update,21-2-2020,Feature has not been updated in 5 years or more
326702778,way,last_update,29-11-2019,Feature has not been updated in 5 years or more
326702805,way,last_update,29-11-2019,Feature has not been updated in 5 years or more
331557886,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
333032689,way,last_update,21-2-2020,Feature has not been updated in 5 years or more
339755015,way,last_update,28-11-2019,Feature has not been updated in 5 years or more
343655694,way,last_update,8-10-2020,Feature has not been updated in 5 years or more
343655738,way,last_update,8-5-2015,Feature has not been updated in 5 years or more
351688696,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
352069075,way,last_update,27-11-2019,Feature has not been updated in 5 years or more
353262696,way,last_update,23-1-2020,Feature has not been updated in 5 years or more
368482142,way,last_update,10-8-2021,Feature has not been updated in 5 years or more
369251729,way,last_update,18-6-2021,Feature has not been updated in 5 years or more
381699156,way,last_update,18-7-2019,Feature has not been updated in 5 years or more
400162757,way,last_update,23-1-2020,Feature has not been updated in 5 years or more
403152082,way,last_update,9-11-2020,Feature has not been updated in 5 years or more
405895628,way,last_update,4-6-2021,Feature has not been updated in 5 years or more
405895785,way,last_update,4-6-2021,Feature has not been updated in 5 years or more
405898289,way,last_update,27-3-2016,Feature has not been updated in 5 years or more
405986172,way,last_update,4-6-2021,Feature has not been updated in 5 years or more
405986173,way,last_update,4-6-2021,Feature has not been updated in 5 years or more
406507640,way,last_update,25-11-2019,Feature has not been updated in 5 years or more
406645946,way,last_update,26-3-2021,Feature has not been updated in 5 years or more
416169936,way,last_update,6-5-2016,Feature has not been updated in 5 years or more
416557026,way,last_update,8-5-2016,Feature has not been updated in 5 years or more
416557027,way,last_update,8-5-2016,Feature has not been updated in 5 years or more
431233599,way,last_update,13-9-2019,Feature has not been updated in 5 years or more
432915500,way,last_update,1-2-2019,Feature has not been updated in 5 years or more
436399130,way,last_update,9-8-2016,Feature has not been updated in 5 years or more
437049640,way,last_update,28-11-2019,Feature has not been updated in 5 years or more
437049641,way,last_update,28-11-2019,Feature has not been updated in 5 years or more
437049643,way,last_update,28-11-2019,Feature has not been updated in 5 years or more
440516034,way,last_update,5-12-2019,Feature has not been updated in 5 years or more
440516035,way,last_update,5-12-2019,Feature has not been updated in 5 years or more
441745230,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
441749038,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
447470510,way,last_update,17-4-2019,Feature has not been updated in 5 years or more
447470511,way,last_update,17-4-2019,Feature has not been updated in 5 years or more
447470512,way,last_update,17-4-2019,Feature has not been updated in 5 years or more
447470514,way,last_update,17-4-2019,Feature has not been updated in 5 years or more
447470517,way,last_update,29-3-2021,Feature has not been updated in 5 years or more
447470518,way,last_update,31-3-2021,Feature has not been updated in 5 years or more
447470521,way,last_update,18-5-2021,Feature has not been updated in 5 years or more
448928289,way,last_update,4-6-2021,Feature has not been updated in 5 years or more
448928298,way,last_update,4-6-2021,Feature has not been updated in 5 years or more
448932944,way,last_update,30-12-2020,Feature has not been updated in 5 years or more
448932948,way,last_update,18-8-2020,Feature has not been updated in 5 years or more
459354623,way,last_update,25-1-2020,Feature has not been updated in 5 years or more
459354629,way,last_update,25-1-2020,Feature has not been updated in 5 years or more
459354650,way,last_update,25-1-2020,Feature has not been updated in 5 years or more
459354652,way,last_update,25-1-2020,Feature has not been updated in 5 years or more
462105726,way,last_update,17-11-2020,Feature has not been updated in 5 years or more
471311415,way,last_update,23-12-2019,Feature has not been updated in 5 years or more
471311478,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
471311479,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
491790398,way,last_update,16-5-2019,Feature has not been updated in 5 years or more
493214631,way,last_update,13-6-2019,Feature has not been updated in 5 years or more
496946285,way,last_update,14-10-2020,Feature has not been updated in 5 years or more
498023292,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
498023293,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
498023294,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
498023298,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
498023299,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
498023303,way,last_update,13-5-2021,Feature has not been updated in 5 years or more
502777147,way,last_update,29-3-2021,Feature has not been updated in 5 years or more
514306978,way,last_update,23-1-2020,Feature has not been updated in 5 years or more
514306979,way,last_update,23-1-2020,Feature has not been updated in 5 years or more
520741434,way,last_update,14-4-2021,Feature has not been updated in 5 years or more
544698045,way,last_update,29-3-2021,Feature has not been updated in 5 years or more
544698047,way,last_update,29-3-2021,Feature has not been updated in 5 years or more
558204799,way,last_update,28-11-2019,Feature has not been updated in 5 years or more
579331539,way,last_update,12-10-2020,Feature has not been updated in 5 years or more
580346406,way,last_update,16-4-2018,Feature has not been updated in 5 years or more
585854485,way,last_update,4-12-2019,Feature has not been updated in 5 years or more
587713274,way,last_update,12-5-2018,Feature has not been updated in 5 years or more
587713278,way,last_update,12-5-2018,Feature has not been updated in 5 years or more
587713282,way,last_update,12-5-2018,Feature has not been updated in 5 years or more
597189182,way,last_update,12-10-2020,Feature has not been updated in 5 years or more
626282599,way,last_update,17-9-2018,Feature has not been updated in 5 years or more
626282605,way,last_update,17-9-2018,Feature has not been updated in 5 years or more
626282624,way,last_update,17-9-2018,Feature has not been updated in 5 years or more
626282644,way,last_update,23-6-2021,Feature has not been updated in 5 years or more
626282647,way,last_update,23-6-2021,Feature has not been updated in 5 years or more
626282651,way,last_update,17-9-2018,Feature has not been updated in 5 years or more
626282654,way,last_update,23-6-2021,Feature has not been updated in 5 years or more
627095692,way,last_update,11-5-2021,Feature has not been updated in 5 years or more
641007922,way,last_update,17-3-2021,Feature has not been updated in 5 years or more
655520077,way,last_update,6-7-2021,Feature has not been updated in 5 years or more
663146227,way,last_update,29-6-2021,Feature has not been updated in 5 years or more
